"About the data: Exported on May 03, 2025. Criteria: '(""Real Estate"" OR ""Smart Real Estate"" OR ""PropTech"" OR ""Digital Real Estate"")  AND (""Sustainability"" OR ""Sustainable"" OR ""Green Building"" OR ""Energy Efficiency"" OR ""Net-Zero"")  AND (""Digital Transformation"" OR ""Emerging Technologies"" OR ""Artificial Intelligence"" OR ""AI"" OR ""Automation"" OR ""IoT"" OR ""Blockchain"" OR ""Big Data"" OR ""Cyber-Physical Systems"")' in title and abstract; Publication Year is 2025 or 2024 or 2023 or 2022 or 2021 or 2020 or 2019 or 2018 or 2017 or 2016.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2025 Digital Science & Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
7177,pub.1133616143,10.3390/e22121421,33339406,PMC7766813,Artificial Intelligence for Modeling Real Estate Price Using Call Detail Records and Hybrid Machine Learning Approach,"Advancement of accurate models for predicting real estate price is of utmost importance for urban development and several critical economic functions. Due to the significant uncertainties and dynamic variables, modeling real estate has been studied as complex systems. In this study, a novel machine learning method is proposed to tackle real estate modeling complexity. Call detail records (CDR) provides excellent opportunities for in-depth investigation of the mobility characterization. This study explores the CDR potential for predicting the real estate price with the aid of artificial intelligence (AI). Several essential mobility entropy factors, including dweller entropy, dweller gyration, workers' entropy, worker gyration, dwellers' work distance, and workers' home distance, are used as input variables. The prediction model is developed using the machine learning method of multi-layered perceptron (MLP) trained with the evolutionary algorithm of particle swarm optimization (PSO). Model performance is evaluated using mean square error (MSE), sustainability index (SI), and Willmott's index (WI). The proposed model showed promising results revealing that the workers' entropy and the dwellers' work distances directly influence the real estate price. However, the dweller gyration, dweller entropy, workers' gyration, and the workers' home had a minimum effect on the price. Furthermore, it is shown that the flow of activities and entropy of mobility are often associated with the regions with lower real estate prices.",The authors would like to thank Vodafone Hungary for providing the CDR data. We acknowledge the financial support of this work by the EFOP-3.6.2-16-2017-00016 project in the framework of the New Szechenyi Plan. The completion of this project was funded by the European Union and co-financed by the European Social Fund. Support of the Alexander von Humboldt Foundation is also acknowledged.,We acknowledge the financial support of this work by the EFOP-3.6.2-16-2017-00016 project in the framework of the New Szechenyi Plan. The completion of this project was funded by the European Union and co-financed by the European Social Fund.,Entropy,,,,2020-12-16,2020,2020-12-16,,22,12,1421,All OA; Gold,Article,"Pinter, Gergo; Mosavi, Amir; Felde, Imre","Pinter, Gergo (John von Neumann Faculty of Informatics, Obuda University, 1034 Budapest, Hungary;, pinter.gergo@nik.uni-obuda.hu, (G.P.);, felde@uni-obuda.hu, (I.F.)); Mosavi, Amir (John von Neumann Faculty of Informatics, Obuda University, 1034 Budapest, Hungary;, pinter.gergo@nik.uni-obuda.hu, (G.P.);, felde@uni-obuda.hu, (I.F.); School of Economics and Business, Norwegian University of Life Sciences, 1430 Ås, Norway; School of the Built Environment, Oxford Brookes University, Oxford OX3 0BP, UK); Felde, Imre (John von Neumann Faculty of Informatics, Obuda University, 1034 Budapest, Hungary;, pinter.gergo@nik.uni-obuda.hu, (G.P.);, felde@uni-obuda.hu, (I.F.))","Mosavi, Amir (Óbuda University; John von Neumann Faculty of Informatics, Obuda University, 1034 Budapest, Hungary;, pinter.gergo@nik.uni-obuda.hu, (G.P.);, felde@uni-obuda.hu, (I.F.); Norwegian University of Life Sciences; Oxford Brookes University)","Pinter, Gergo (Óbuda University; John von Neumann Faculty of Informatics, Obuda University, 1034 Budapest, Hungary;, pinter.gergo@nik.uni-obuda.hu, (G.P.);, felde@uni-obuda.hu, (I.F.)); Mosavi, Amir (Óbuda University; John von Neumann Faculty of Informatics, Obuda University, 1034 Budapest, Hungary;, pinter.gergo@nik.uni-obuda.hu, (G.P.);, felde@uni-obuda.hu, (I.F.); Norwegian University of Life Sciences; Oxford Brookes University); Felde, Imre (Óbuda University; John von Neumann Faculty of Informatics, Obuda University, 1034 Budapest, Hungary;, pinter.gergo@nik.uni-obuda.hu, (G.P.);, felde@uni-obuda.hu, (I.F.))",32,18,0.27,,https://www.mdpi.com/1099-4300/22/12/1421/pdf?version=1608132789,https://app.dimensions.ai/details/publication/pub.1133616143,49 Mathematical Sciences; 51 Physical Sciences,
3292,pub.1157861255,10.1088/1755-1315/1176/1/012002,,,The Norwegian proptech market – an incubator for game changers,"Property and construction are some of world’s largest industries, but also some of the largest producers of waste and CO2-emissions. The property or real estate industry is currently undergoing a digital transformation. Property technology (proptech) is one of the driving forces for this transformation and enablers to establish a more sustainable society. This paper investigates the Norwegian market through 154 proprietary proptech established between 2013 – 2023. The aim is to understand how proprietary proptech are influencing the business practices and how the real estate industry’s overall capacity, efforts, and resources have been allocated in developing novel proptech. Three theoretical frameworks sociotechnical systems (STS), diffusion of innovation, and sustainability transitions, have been used to investigate how proptech influences the real estate industry and FM. The results suggest there are innovations coming from at least two unexpected places, namely customised modules moving faster than proprietary proptech, and game changers enabled by feedback loops from late stage and FM big data to early stage property development.",,,IOP Conference Series Earth and Environmental Science,,,,2023-05-01,2023,,2023-05-01,1176,1,012002,All OA; Gold,Article,"Phan, T; Boge, K","Phan, T (Department of Property and Law, Norwegian University of Life Sciences (NMBU)); Boge, K (Department of Property and Law, Norwegian University of Life Sciences (NMBU))",,"Phan, T (Norwegian University of Life Sciences); Boge, K (Norwegian University of Life Sciences)",1,1,,,https://iopscience.iop.org/article/10.1088/1755-1315/1176/1/012002/pdf,https://app.dimensions.ai/details/publication/pub.1157861255,"30 Agricultural, Veterinary and Food Sciences; 37 Earth Sciences; 41 Environmental Sciences",
2925,pub.1174367818,10.12776/qip.v28i2.2024,,,Reshaping the World with Computer Technologies and Their Impact on the Development of Processes in the Field of Real Estate Trading,"Purpose: This study examines artificial intelligence (AI) impact on real estate, highlighting its role in improving processes, enhancing customer experiences, and ensuring competitiveness while prioritising data protection and security. Methodology/Approach: A comprehensive literature review compared AI technologies in real estate, including drones, the Internet of Things (IoT), cloud computing, big data, 3D scanning, wearables, virtual and augmented realities, and robotics. It examines their impact on operations, focusing on AI in Heating, Ventilation and Air Conditioning (HVAC) systems for energy efficiency and comfort. Findings: AI enhances real estate development by optimising operations, transforming customer relationships, and improving energy efficiency and comfort with AI-controlled HVAC systems. Benefits include automated data processing, better decision-making, and optimised marketing strategies. Research Limitation/Implication: AI has great potential, but its implementation is in the early stages, including in real estate. Challenges include data protection, security, costs, and new hardware for HVAC systems. Broader real-case testing is needed. Originality/Value of paper: This paper broadens the perspective on AI's impact on real estate, showing how to implement AI in various processes. It improves performance and transforms customer experiences, setting new standards for property management.",,,Quality Innovation Prosperity,,,,2024-07-31,2024,2024-07-31,,28,2,,All OA; Gold,Article,"Rockel, Georg; Rusko, Miroslav; Predajnianska, Anna","Rockel, Georg (); Rusko, Miroslav (); Predajnianska, Anna ()",,"Rockel, Georg (); Rusko, Miroslav (); Predajnianska, Anna ()",1,1,,,https://www.qip-journal.eu/index.php/QIP/article/download/2024/1414,https://app.dimensions.ai/details/publication/pub.1174367818,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services; 46 Information and Computing Sciences; 4604 Cybersecurity and Privacy",7 Affordable and Clean Energy
2844,pub.1182801595,10.1007/978-981-97-1949-5,,,Proceedings of the 28th International Symposium on Advancement of Construction Management and Real Estate,"This book presents the proceedings of CRIOCM 2023, sharing the latest developments in real estate and construction management around the globe. The conference was organized by the Chinese Research Institute of Construction Management (CRIOCM) and Southeast University. Written by international academics and professionals, the proceedings discuss the latest achievements, research findings and advances in frontier disciplines in the field of construction management and real estate, covering a wide range of topics, including new theory and practice of engineering management, smart construction and maintenance, green low-carbon building and sustainable development, big data and blockchain, construction and real estate economy, real estate finance and investment, real estate management and housing policy, innovative theory and practice of urban governance, land use and urban planning, and other related issues. The discussions provide valuable insights into the implementation of advancedconstruction project management and real estate market in China and abroad. The book offers an outstanding resource for academics and professionals.",,,Lecture Notes in Operations Research,,"Dezhi Li, Patrick X. W. Zou, Jingfeng Yuan, Qian Wang, Yi Peng",,2024,2024,,2024,,,,Closed,Edited Book,,,,,0,0,,,,https://app.dimensions.ai/details/publication/pub.1182801595,"33 Built Environment and Design; 3302 Building; 35 Commerce, Management, Tourism and Services; 3504 Commercial Services; 40 Engineering; 4005 Civil Engineering",11 Sustainable Cities and Communities
2718,pub.1187058875,10.59825/jcs.2025.3.2.83,,,Research on the Management of State-owned Enterprise Real Estate in the Digitalization Context,"With the rapid development of China’s social economy, the accumulation of real estate assets in state-owned enterprises has been increasing and has become a key component in the asset management of these enterprises. Amid the widespread application of information technologies such as the internet, cloud computing, artificial intelligence, and big data, digital management has emerged as a developmental trend in the management of state-owned enterprise real estate. Against this backdrop, this paper analyzes the necessity of the digital transformation of state-owned enterprise real estate management, identifies the actual problems faced during the digital transformation, and then summarizes the strategies and measures for the management of state-owned enterprise real estate in the digital context. The aim is to lay the foundation for the stable, healthy, and sustainable development of state-owned enterprises, and to provide theoretical support and practical reference for the modernization of the state-owned asset management system.",,,Yixin Publisher,,,,2025-02-28,2025,2025-02-28,2025-02-28,3,2,83-90,Closed,Article,"Zhang, Yaping","Zhang, Yaping ()",,"Zhang, Yaping ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1187058875,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services",
2633,pub.1106555423,10.3390/su10093142,,,"A Systematic Review of Smart Real Estate Technology: Drivers of, and Barriers to, the Use of Digital Disruptive Technologies and Online Platforms","Real estate needs to improve its adoption of disruptive technologies to move from traditional to smart real estate (SRE). This study reviews the adoption of disruptive technologies in real estate. It covers the applications of nine such technologies, hereby referred to as the Big9. These are: drones, the internet of things (IoT), clouds, software as a service (SaaS), big data, 3D scanning, wearable technologies, virtual and augmented realities (VR and AR), and artificial intelligence (AI) and robotics. The Big9 are examined in terms of their application to real estate and how they can furnish consumers with the kind of information that can avert regrets. The review is based on 213 published articles. The compiled results show the state of each technology’s practice and usage in real estate. This review also surveys dissemination mechanisms, including smartphone technology, websites and social media-based online platforms, as well as the core components of SRE: sustainability, innovative technology and user centredness. It identifies four key real estate stakeholders—consumers, agents and associations, government and regulatory authorities, and complementary industries—and their needs, such as buying or selling property, profits, taxes, business and/or other factors. Interactions between these stakeholders are highlighted, and the specific needs that various technologies address are tabulated in the form of a what, who and how analysis to highlight the impact that the technologies have on key stakeholders. Finally, stakeholder needs as identified in the previous steps are matched theoretically with six extensions of the traditionally accepted technology adoption model (TAM), paving the way for a smoother transition to technology-based benefits for consumers. The findings pertinent to the Big9 technologies in the form of opportunities, potential losses and exploitation levels (OPLEL) analyses highlight the potential utilisation of each technology for addressing consumers’ needs and minimizing their regrets. Additionally, the tabulated findings in the form of what, how and who links the Big9 technologies to core consumers’ needs and provides a list of resources needed to ensure proper information dissemination to the stakeholders. Such high-quality information can bridge the gap between real estate consumers and other stakeholders and raise the state of the industry to a level where its consumers have fewer or no regrets. The study, being the first to explore real estate technologies, is limited by the number of research publications on the SRE technologies that has been compensated through incorporation of online reports.",,This research received no external funding.,Sustainability,,,,2018-09-03,2018,2018-09-03,,10,9,3142,All OA; Gold,Article,"Ullah, Fahim; Sepasgozar, Samad M. E.; Wang, Changxin","Ullah, Fahim (Faculty of the Built Environment, University of New South Wales, Kensington, 2052 Sydney, Australia); Sepasgozar, Samad M. E. (Faculty of the Built Environment, University of New South Wales, Kensington, 2052 Sydney, Australia); Wang, Changxin (Faculty of the Built Environment, University of New South Wales, Kensington, 2052 Sydney, Australia)","Ullah, Fahim (UNSW Sydney)","Ullah, Fahim (UNSW Sydney); Sepasgozar, Samad M. E. (UNSW Sydney); Wang, Changxin (UNSW Sydney)",179,95,,45.7,https://www.mdpi.com/2071-1050/10/9/3142/pdf?version=1536034394,https://app.dimensions.ai/details/publication/pub.1106555423,"35 Commerce, Management, Tourism and Services; 3503 Business Systems In Context; 3504 Commercial Services; 46 Information and Computing Sciences; 4605 Data Management and Data Science",
2607,pub.1136721826,10.1007/978-3-030-68438-9,,,"Sustainable Cities, Big Data, Artificial Intelligence and the Rise of Green, “Cy-phy” Cities","Global cities are facing an almost unprecedented challenge of change. As they re-emerge from the Covid 19 pandemic and get ready to face climate change and other, potentially existential threats, they need to look for new ways to support wealth and wellbeing creation – leveraging Big Data and AI and suing them into their physical reality and to become greener, more inclusive and resilient, hence sustainable. This book describes how new digital technologies could be used to design digital and physical twins of cities that are able to feed into each other to optimize their working and ability to create new wealth and wellbeing. The book also describes how to increase cities’ social and economic resilience during crisis time and addressing their almost fatal weaknesses – as it became all too obvious during the recent COVID 19 crisis. Also, the book presents a framework for a critical discussion of the concept of “smart-city”, suggesting its development into a “cyber” and “meta” one – meaning, not only digital systems can allow physical ones (e.g. cities, citizens, households and companies) to become “smarter”, but also the vice versa is true, as off line data and real life behaviours can support the optimization and development of virtual brains as a sum of big data and artificial intelligence apps all sitting “over the cloud”. An analysis of the fundamental dynamics of this emerging “info-telligence” economy, and of the potential role of big digital players like Amazon, Google and Facebook is then paving the way to discuss a few strategic forays on how traditional sectors such as financial services, real estate, TMT or health could also evolve, leveraging Big Data and AI in a cyber-physical integrated setting. Finally, a number of thought provoking use cases that could be designed around individuals, and to improve the success and the resilience of households and companies living and working in urban areas are discussed, as an example of one of the most exciting future markets to come: the one of global, sustainable cities",,,,,,,2021,2021,,2021,,,,Closed,Monograph,"Scardovi, Claudio","Scardovi, Claudio (HOPE SpA, Milan, Italy)",,"Scardovi, Claudio (HOPE SpA, Milan, Italy)",4,2,,4.44,,https://app.dimensions.ai/details/publication/pub.1136721826,36 Creative Arts and Writing; 3605 Screen and Digital Media; 46 Information and Computing Sciences,11 Sustainable Cities and Communities
2395,pub.1168322802,10.3390/su16031079,,,"Real Estate Industry Sustainable Solution (Environmental, Social, and Governance) Significance Assessment—AI-Powered Algorithm Implementation","As the global imperative for sustainable development intensifies, the real estate industry stands at the intersection of environmental responsibility and economic viability. This paper presents a comprehensive exploration of the significance of sustainable solutions within the real estate sector, employing advanced artificial intelligence (AI) algorithms to assess their impact. This study focuses on the integration of AI-powered tools in a decision-making process analysis. The research methodology involves the development and implementation of AI algorithms capable of analyzing vast datasets related to real estate attributes. By leveraging machine learning techniques, the algorithm assesses the significance of energy efficiency solutions along with other intrinsic and extrinsic attributes. This paper examines the effectiveness of these solutions in relation to the influence on property prices with a framework based on an AI-driven algorithm. The findings aim to inform real estate professionals and investors about the tangible advantages of integrating AI technologies into sustainable solutions, promoting a more informed and responsible approach to industry practices. This research contributes to the growing interest in the connection of the real estate sector, sustainability, and AI, offering insights that can guide strategic decision making. By implementing the random forest method in the real estate feature significance assessment original methodology, it has been shown that AI-powered algorithms can be a useful tool from the perspective of real estate price prediction. The methodology’s ability to handle non-linear relationships and provide insights into feature importance proved advantageous in comparison to the multiple regression analysis.",,"This research was funded by the Development Program at the University of Warmia and Mazury in Olsztyn (internship in the School of Government at the University of North Carolina, USA, co-financed by the European Union under the European Social Fund) (POWR.03.05. 00-00-Z310/17).",Sustainability,,,,2024-01-26,2024,2024-01-26,,16,3,1079,All OA; Gold,Article,"Walacik, Marek; Chmielewska, Aneta","Walacik, Marek (Institute of Spatial Management and Geography, University of Warmia and Mazury in Olsztyn, 10-720 Olsztyn, Poland); Chmielewska, Aneta (Institute of Spatial Management and Geography, University of Warmia and Mazury in Olsztyn, 10-720 Olsztyn, Poland)","Walacik, Marek (University of Warmia and Mazury in Olsztyn)","Walacik, Marek (University of Warmia and Mazury in Olsztyn); Chmielewska, Aneta (University of Warmia and Mazury in Olsztyn)",12,12,,,https://www.mdpi.com/2071-1050/16/3/1079/pdf?version=1706263670,https://app.dimensions.ai/details/publication/pub.1168322802,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services",
2394,pub.1186173630,10.58812/esiscs.v1i03.450,,,Lead Prioritization: A guide to maximizing sales using analytics and AI in Real Estate,"In this highly competitive market, selecting the right lead that would bring significant sales conversion is one of the keys to an effective real estate business. In the following paper, we discuss the function of analytics and artificial intelligence in transforming lead management in the real estate industry. Conventional methods of lead prioritizing involve the rote use of the gut feeling of a salesperson, which, although inefficient, leaves much room for potential errors. Incorporating AI and analytics lead management thrust real estate agents into data analysis, where agents can make predictive and behavioral decisions based on stated data. Through lead scoring tools and other intelligent platforms such as AI, an agent can determine high probable lead conversion, directing efforts to more converting leads. Furthermore, this paper examines the use of big data analytics in predicting market trends and buying behavior to improve the position of agents competing in a highly technological marketplace. The paper also discusses changes in buyers' needs, including the interest in customization and environmental sustainability, which are gaining importance in lead selection processes. For this, adopting these technologies not only makes operations more efficient but also assists agents in building better client relations by initiating marketing that would capture the clients' interest and subsequently follow up on them. The lead management of the real estate industry will only improve due to enhanced artificial intelligence and analytics in the future. This paper acts as a reference for real estate agents trying to incorporate current tools in managing their leads to improve their chances of closing deals.",,,The Eastasouth Journal of Information System and Computer Science,,,,2024-04-30,2024,2024-04-30,,1,03,176-198,Closed,Article,"Goel, Krupa","Goel, Krupa ()",,"Goel, Krupa ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1186173630,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services",
2316,pub.1157591099,10.1080/19498276.2023.2203292,,,Connecting Digitalization and Sustainability: Proptech in the Real Estate Operations and Management,"Digitalization of building operations and maintenance enable real-time monitoring, optimization, and automation for environment sustainability. Proptech startups are important change agents in accelerating building digitalization. While many researchers analyze economic and environmental savings from deployment of digital technology, far less attention has been devoted to challenges for proptech startups to transform efficiency gains into viable businesses. We analyze the Unissu global proptech startup database to reveal the scope and competitive landscape of proptech solutions. We conduct interviews with building owners/operators to understand what impedes the adoption of proptech solutions. Despite rapid growth, ongoing challenges remain for sustainability-focused proptech firms with three adoption barriers: (1) integration of the technology stacks; (2) integration of technology stacks with business processes; and (3) integration of owner/operators and the occupants’ solutions. Proptech with applications that work with existing infrastructure or provide more complete holistic solutions with extensive capital reserves, are more likely to survive. Other pathways include having data standardization and security protocols in place; technology partnership with technology incumbents; and effective communication with owners/operators to fill the knowledge gap. Findings can provide insights to emerging digital proptech startups as they spearhead market adoption in the real estate sector and monetize the sustainability value creation.","We thank Professor Siqi Zheng for encouraging us to start this research and providing critical feedback. We extend special thanks to all those persons who generously gave their time for interviews. For privacy concerns, we do not disclose the full list of interviewees. We thank our research assistant Himanshu Tiwari. We also Jing Wu, Haifeng Qian, Juan Palacios, and James Scott and anonymous reviewers for providing helpful comments and feedback on the manuscript.",,Journal of Sustainable Real Estate,,,,2023-04-27,2023,2023-04-27,2023-12-31,15,1,2203292,All OA; Gold,Article,"Tan, Zhengzhen; Miller, Norm G.","Tan, Zhengzhen (Center for Real Estate, Sustainable Urbanization Lab, Massachusetts Institute of Technology, Cambridge, MA, USA); Miller, Norm G. (School of Business, University of San Diego, San Diego, CA, USA)","Tan, Zhengzhen (Massachusetts Institute of Technology)","Tan, Zhengzhen (Massachusetts Institute of Technology); Miller, Norm G. (University of San Diego)",8,8,,5.36,https://www.tandfonline.com/doi/pdf/10.1080/19498276.2023.2203292?needAccess=true&role=button,https://app.dimensions.ai/details/publication/pub.1157591099,33 Built Environment and Design; 3304 Urban and Regional Planning,
