"About the data: Exported on May 03, 2025. Criteria: '(""Real Estate"" OR ""Smart Real Estate"" OR ""PropTech"" OR ""Digital Real Estate"")  AND (""Resilience"" OR ""Resilient"" OR ""Risk Management"" OR ""Crisis Response"" OR ""Disaster Preparedness"" OR ""Climate Adaptation"") AND (""Digital Transformation"" OR ""Emerging Technologies"" OR ""Artificial Intelligence"" OR ""AI"" OR ""Automation"" OR ""IoT"" OR ""Blockchain"" OR ""Big Data"" OR ""Cyber-Physical Systems"")' in title and abstract; Publication Year is 2025 or 2024 or 2023 or 2022 or 2021 or 2020 or 2019 or 2018 or 2017 or 2016.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2025 Digital Science & Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
8114,pub.1140145096,10.1186/s40537-021-00476-0,34367876,PMC8329615,Predictive analytics using Big Data for the real estate market during the COVID-19 pandemic,"As the COVID-19 pandemic came unexpectedly, many real estate experts claimed that the property values would fall like the 2007 crash. However, this study raises the question of what attributes of an apartment are most likely to influence a price revision during the pandemic. The findings in prior studies have lacked consensus, especially regarding the time-on-the-market variable, which exhibits an omnidirectional effect. However, with the rise of Big Data, this study used a web-scraping algorithm and collected a total of 18,992 property listings in the city of Vilnius during the first wave of the COVID-19 pandemic. Afterwards, 15 different machine learning models were applied to forecast apartment revisions, and the SHAP values for interpretability were used. The findings in this study coincide with the previous literature results, affirming that real estate is quite resilient to pandemics, as the price drops were not as dramatic as first believed. Out of the 15 different models tested, extreme gradient boosting was the most accurate, although the difference was negligible. The retrieved SHAP values conclude that the time-on-the-market variable was by far the most dominant and consistent variable for price revision forecasting. Additionally, the time-on-the-market variable exhibited an inverse U-shaped behaviour.",Not applicable.,Funding is provided by the Kaunas University of Technology.,Journal of Big Data,,,,2021-08-03,2021,2021-08-03,2021-12,8,1,105,All OA; Gold,Article,"Grybauskas, Andrius; Pilinkienė, Vaida; Stundžienė, Alina","Grybauskas, Andrius (School of Economics and Business, Kaunas University of Technology, K. Donelaičio g. 73, 44249, Kaunas, Lithuania); Pilinkienė, Vaida (School of Economics and Business, Kaunas University of Technology, K. Donelaičio g. 73, 44249, Kaunas, Lithuania); Stundžienė, Alina (School of Economics and Business, Kaunas University of Technology, K. Donelaičio g. 73, 44249, Kaunas, Lithuania)","Grybauskas, Andrius (Kaunas University of Technology)","Grybauskas, Andrius (Kaunas University of Technology); Pilinkienė, Vaida (Kaunas University of Technology); Stundžienė, Alina (Kaunas University of Technology)",52,34,0.55,,https://journalofbigdata.springeropen.com/counter/pdf/10.1186/s40537-021-00476-0,https://app.dimensions.ai/details/publication/pub.1140145096,46 Information and Computing Sciences,
3194,pub.1125965197,10.3390/bdcc4020004,,,Big Data and Its Applications in Smart Real Estate and the Disaster Management Life Cycle: A Systematic Analysis,"Big data is the concept of enormous amounts of data being generated daily in different fields due to the increased use of technology and internet sources. Despite the various advancements and the hopes of better understanding, big data management and analysis remain a challenge, calling for more rigorous and detailed research, as well as the identifications of methods and ways in which big data could be tackled and put to good use. The existing research lacks in discussing and evaluating the pertinent tools and technologies to analyze big data in an efficient manner which calls for a comprehensive and holistic analysis of the published articles to summarize the concept of big data and see field-specific applications. To address this gap and keep a recent focus, research articles published in last decade, belonging to top-tier and high-impact journals, were retrieved using the search engines of Google Scholar, Scopus, and Web of Science that were narrowed down to a set of 139 relevant research articles. Different analyses were conducted on the retrieved papers including bibliometric analysis, keywords analysis, big data search trends, and authors’ names, countries, and affiliated institutes contributing the most to the field of big data. The comparative analyses show that, conceptually, big data lies at the intersection of the storage, statistics, technology, and research fields and emerged as an amalgam of these four fields with interlinked aspects such as data hosting and computing, data management, data refining, data patterns, and machine learning. The results further show that major characteristics of big data can be summarized using the seven Vs, which include variety, volume, variability, value, visualization, veracity, and velocity. Furthermore, the existing methods for big data analysis, their shortcomings, and the possible directions were also explored that could be taken for harnessing technology to ensure data analysis tools could be upgraded to be fast and efficient. The major challenges in handling big data include efficient storage, retrieval, analysis, and visualization of the large heterogeneous data, which can be tackled through authentication such as Kerberos and encrypted files, logging of attacks, secure communication through Secure Sockets Layer (SSL) and Transport Layer Security (TLS), data imputation, building learning models, dividing computations into sub-tasks, checkpoint applications for recursive tasks, and using Solid State Drives (SDD) and Phase Change Material (PCM) for storage. In terms of frameworks for big data management, two frameworks exist including Hadoop and Apache Spark, which must be used simultaneously to capture the holistic essence of the data and make the analyses meaningful, swift, and speedy. Further field-specific applications of big data in two promising and integrated fields, i.e., smart real estate and disaster management, were investigated, and a framework for field-specific applications, as well as a merger of the two areas through big data, was highlighted. The proposed frameworks show that big data can tackle the ever-present issues of customer regrets related to poor quality of information or lack of information in smart real estate to increase the customer satisfaction using an intermediate organization that can process and keep a check on the data being provided to the customers by the sellers and real estate managers. Similarly, for disaster and its risk management, data from social media, drones, multimedia, and search engines can be used to tackle natural disasters such as floods, bushfires, and earthquakes, as well as plan emergency responses. In addition, a merger framework for smart real estate and disaster risk management show that big data generated from the smart real estate in the form of occupant data, facilities management, and building integration and maintenance can be shared with the disaster risk management and emergency response teams to help prevent, prepare, respond to, or recover from the disasters.",,This research received no external funding.,Big Data and Cognitive Computing,,,,2020-03-26,2020,2020-03-26,,4,2,4,All OA; Gold,Article,"Munawar, Hafiz Suliman; Qayyum, Siddra; Ullah, Fahim; Sepasgozar, Samad","Munawar, Hafiz Suliman (Faculty of Built Environment, University of New South Wales, Kensington, Sydney, NSW 2052, Australia;, f.ullah@unsw.edu.au, (F.U.);, sepas@unsw.edu.au, (S.S.)); Qayyum, Siddra (School of Project Management, University of Sydney, Camperdown, Sydney, NSW 2006, Australia;, siddra.qayyum@sydney.edu.au); Ullah, Fahim (Faculty of Built Environment, University of New South Wales, Kensington, Sydney, NSW 2052, Australia;, f.ullah@unsw.edu.au, (F.U.);, sepas@unsw.edu.au, (S.S.)); Sepasgozar, Samad (Faculty of Built Environment, University of New South Wales, Kensington, Sydney, NSW 2052, Australia;, f.ullah@unsw.edu.au, (F.U.);, sepas@unsw.edu.au, (S.S.))","Munawar, Hafiz Suliman (UNSW Sydney; Faculty of Built Environment, University of New South Wales, Kensington, Sydney, NSW 2052, Australia;, f.ullah@unsw.edu.au, (F.U.);, sepas@unsw.edu.au, (S.S.))","Munawar, Hafiz Suliman (UNSW Sydney; Faculty of Built Environment, University of New South Wales, Kensington, Sydney, NSW 2052, Australia;, f.ullah@unsw.edu.au, (F.U.);, sepas@unsw.edu.au, (S.S.)); Qayyum, Siddra (The University of Sydney); Ullah, Fahim (UNSW Sydney; Faculty of Built Environment, University of New South Wales, Kensington, Sydney, NSW 2052, Australia;, f.ullah@unsw.edu.au, (F.U.);, sepas@unsw.edu.au, (S.S.)); Sepasgozar, Samad (UNSW Sydney; Faculty of Built Environment, University of New South Wales, Kensington, Sydney, NSW 2052, Australia;, f.ullah@unsw.edu.au, (F.U.);, sepas@unsw.edu.au, (S.S.))",123,66,,101.49,https://www.mdpi.com/2504-2289/4/2/4/pdf?version=1585737740,https://app.dimensions.ai/details/publication/pub.1125965197,46 Information and Computing Sciences; 4610 Library and Information Studies,11 Sustainable Cities and Communities
2890,pub.1186158923,10.12688/f1000research.161477.1,,,"Synergistic review of automation impact of big data, AI, and ML in current data transformative era","The convergence of automation, big data analytics (BDA), artificial intelligence (AI), and machine learning (ML) has ushered in a new era of technological advancement, reshaping industries, and societies worldwide. This review research work delves into the transformative impact of these technologies, focusing on their applications across various sectors. The study covers six key sectors: healthcare, banking, finance, retail, real estate, and agriculture, highlighting how these industries leverage automated systems and data analytics to enhance operations, manage risks, and improve decision-making processes. Drawing results from over 1,000 research papers and categorizing them into 100 key studies specifics, this survey-based review underscores the critical role of big data in enabling predictive analytics, improving outcomes, and driving innovation across sectors. The review research work explores how industries utilize vast data volumes from diverse sources to derive actionable insights, forecast trends, and optimize processes. Key applications included in the review are from the domains of disease prediction and electronic health record management in healthcare , fraud detection and credit risk assessment in banking and finance, consumer behavior analysis and inventory optimization in retail, market trend forecasting in real estate, and disaster risk management in agriculture. The paper also discusses the challenges including data quality, scalability, and privacy paving way towards future directions of big data analytics, emphasizing the need for machine-independent solutions, data security, and ethical considerations in the evolving landscape of data-driven decision-making.",,,F1000Research,,,,2025-03-03,2025,2025-03-03,,14,,253,All OA; Gold,Article,"Rath, Swastik; Pandey, Manjusha; Rautaray, Siddharth Swarup","Rath, Swastik (); Pandey, Manjusha (); Rautaray, Siddharth Swarup ()",,"Rath, Swastik (); Pandey, Manjusha (); Rautaray, Siddharth Swarup ()",0,0,,,https://doi.org/10.12688/f1000research.161477.1,https://app.dimensions.ai/details/publication/pub.1186158923,"35 Commerce, Management, Tourism and Services; 46 Information and Computing Sciences; 4609 Information Systems",
2653,pub.1136721826,10.1007/978-3-030-68438-9,,,"Sustainable Cities, Big Data, Artificial Intelligence and the Rise of Green, “Cy-phy” Cities","Global cities are facing an almost unprecedented challenge of change. As they re-emerge from the Covid 19 pandemic and get ready to face climate change and other, potentially existential threats, they need to look for new ways to support wealth and wellbeing creation – leveraging Big Data and AI and suing them into their physical reality and to become greener, more inclusive and resilient, hence sustainable. This book describes how new digital technologies could be used to design digital and physical twins of cities that are able to feed into each other to optimize their working and ability to create new wealth and wellbeing. The book also describes how to increase cities’ social and economic resilience during crisis time and addressing their almost fatal weaknesses – as it became all too obvious during the recent COVID 19 crisis. Also, the book presents a framework for a critical discussion of the concept of “smart-city”, suggesting its development into a “cyber” and “meta” one – meaning, not only digital systems can allow physical ones (e.g. cities, citizens, households and companies) to become “smarter”, but also the vice versa is true, as off line data and real life behaviours can support the optimization and development of virtual brains as a sum of big data and artificial intelligence apps all sitting “over the cloud”. An analysis of the fundamental dynamics of this emerging “info-telligence” economy, and of the potential role of big digital players like Amazon, Google and Facebook is then paving the way to discuss a few strategic forays on how traditional sectors such as financial services, real estate, TMT or health could also evolve, leveraging Big Data and AI in a cyber-physical integrated setting. Finally, a number of thought provoking use cases that could be designed around individuals, and to improve the success and the resilience of households and companies living and working in urban areas are discussed, as an example of one of the most exciting future markets to come: the one of global, sustainable cities",,,,,,,2021,2021,,2021,,,,Closed,Monograph,"Scardovi, Claudio","Scardovi, Claudio (HOPE SpA, Milan, Italy)",,"Scardovi, Claudio (HOPE SpA, Milan, Italy)",4,2,,4.44,,https://app.dimensions.ai/details/publication/pub.1136721826,36 Creative Arts and Writing; 3605 Screen and Digital Media; 46 Information and Computing Sciences,11 Sustainable Cities and Communities
2400,pub.1121128171,10.1108/bpmj-03-2019-0125,,,Big data and risk management in business processes: implications for corporate real estate,"Purpose The purpose of this paper is to improve understanding of the integration between big data (BD) and risk management (RM) in business processes (BPs), with special reference to corporate real estate (CRE).   Design/methodology/approach This conceptual study follows, methodologically, the structuring inter-textual coherence process – specifically, the synthesised coherence tactical approach. It draws heavily on theoretical evidence published, mainly, in the corporate finance and the business management literature.   Findings A new conceptual framework is presented for CRE to proactively develop insights into the potential benefits of using BD as a business strategy/instrument. The approach was found to strengthen decision-making processes and encourage better RM – with significant consequences, in particular, for business process management (BPM). Specifically, by recognising the potential uses of BD, it is also possible to redefine the processes with advantages in terms of RM.   Originality/value This study contributes to the literature in the fields of real estate, RM, BPM and digital transformation. To the best knowledge of authors, although the literature has examined the concepts of BD, RM and BP, no prior studies have comprehensively examined these three elements and their conjoint contribution to CRE. In particular, the study highlights how the automation of data-intensive activities and the analysis of such data (in both structured and unstructured forms), as a means of supporting decision making, can lead to better efficiency in RM and optimisation of processes.",,,Business Process Management Journal,,,,2020-09-07,2020,,2020-09-07,26,5,1141-1155,All OA; Green,Article,"Battisti, Enrico; Shams, S.M. Riad; Sakka, Georgia; Miglietta, Nicola","Battisti, Enrico (Department of Management, University of Turin, Turin, Italy); Shams, S.M. Riad (Northumbria University, Newcastle upon Tyne, UK); Sakka, Georgia (University of Nicosia, Nicosia, Cyprus; UNICAF University, Larnaca, Cyprus); Miglietta, Nicola (Department of Management, University of Turin, Turin, Italy)","Battisti, Enrico (University of Turin)","Battisti, Enrico (University of Turin); Shams, S.M. Riad (Northumbria University); Sakka, Georgia (University of Nicosia; UNICAF University, Larnaca, Cyprus); Miglietta, Nicola (University of Turin)",40,18,,13.61,http://nrl.northumbria.ac.uk/id/eprint/40800/1/BPMJ%202.pdf,https://app.dimensions.ai/details/publication/pub.1121128171,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services; 3507 Strategy, Management and Organisational Behaviour; 46 Information and Computing Sciences; 4609 Information Systems",
2247,pub.1169199367,10.60087/jklst.vol3.n2.p10,,,Unleashing the Power of Artificial Intelligence in Real Estate Valuation: Opportunities and Challenges Ahead,"The convergence of real estate valuation and artificial intelligence (AI) represents a transformative frontier in the real estate industry. This paper explores the strategic importance of real estate valuation and the integration of AI technologies, shedding light on their multifaceted contributions to decision-making, value enhancement, and market insights. Through a comprehensive review of literature, theoretical frameworks, and industry insights, the study examines the potential of AI-driven valuation models, predictive analytics, and Explainable AI (XAI) techniques in revolutionizing traditional valuation practices. Key areas of future research, including data integration, ethical considerations, and the development of hybrid AI systems, are identified to advance the field and address emerging challenges. By leveraging AI technologies responsibly, stakeholders can unlock new opportunities for efficiency, accuracy, and transparency in real estate valuation, ultimately shaping a more resilient and sustainable future for the industry.",,,Journal of Knowledge Learning and Science Technology ISSN 2959-6386 (online),,,,2024-02-25,2024,2024-02-25,,3,2,1-10,All OA; Hybrid,Article,"Muzahem Alsahan, Ibraheem; Ibraheem AlZaidan, Ziyad","Muzahem Alsahan, Ibraheem (); Ibraheem AlZaidan, Ziyad ()",,"Muzahem Alsahan, Ibraheem (); Ibraheem AlZaidan, Ziyad ()",2,2,,,https://jklst.org/index.php/home/article/download/146/122,https://app.dimensions.ai/details/publication/pub.1169199367,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services","11 Sustainable Cities and Communities; 9 Industry, Innovation and Infrastructure"
2243,pub.1169180245,10.60087/jaigs.v3i1.69,,,Unleashing the Power of Artificial Intelligence in Real Estate Valuation: Opportunities and Challenges Ahead,"The convergence of real estate valuation and artificial intelligence (AI) represents a transformative frontier in the real estate industry. This paper explores the strategic importance of real estate valuation and the integration of AI technologies, shedding light on their multifaceted contributions to decision-making, value enhancement, and market insights. Through a comprehensive review of literature, theoretical frameworks, and industry insights, the study examines the potential of AI-driven valuation models, predictive analytics, and Explainable AI (XAI) techniques in revolutionizing traditional valuation practices. Key areas of future research, including data integration, ethical considerations, and the development of hybrid AI systems, are identified to advance the field and address emerging challenges. By leveraging AI technologies responsibly, stakeholders can unlock new opportunities for efficiency, accuracy, and transparency in real estate valuation, ultimately shaping a more resilient and sustainable future for the industry.",,,Journal of Artificial Intelligence General science (JAIGS) ISSN 3006-4023,,,,2024-02-25,2024,2024-02-25,,3,1,89-96,All OA; Hybrid,Article,"Alsahan, Ibraheem Muzahem; AlZaidan, Ziyad Ibraheem","Alsahan, Ibraheem Muzahem (); AlZaidan, Ziyad Ibraheem ()",,"Alsahan, Ibraheem Muzahem (); AlZaidan, Ziyad Ibraheem ()",0,0,,,https://ojs.boulibrary.com/index.php/JAIGS/article/download/69/40,https://app.dimensions.ai/details/publication/pub.1169180245,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services","11 Sustainable Cities and Communities; 9 Industry, Innovation and Infrastructure"
2216,pub.1146529067,10.1145/3510249.3510262,,,Applications of Big Data within Finance: Fraud Detection and Risk Management within the Real Estate Industry,"Big Data within the world of finance is about large, complex, and diverse (unstructured and structured) data sets that may be employed in providing solutions across the world for business challenges within banking companies and financial services that are long-standing. Big Data helps in enhancing the significance of FinTech in offering numerous financial services for users, facilitating the distribution of new payment, financing, and exchange services within an increasingly large proportion of the population. Technological developments have changed our lives profoundly, particularly over the last two decades. All fields of the economy have been changed, so it is hardly surprising that the world of real estate has been impacted by technological advances. Indeed, great technological strides have been made within the financial world that has allowed both professionals and amateurs to employ technical, innovative solutions that may lead to improved performance both within personally used commercial activity and for the purposes of commerce. Various applications of Big Data have been very beneficial for the world of finance because of new innovations in various technologies. The focus of this research has been upon the undertaking of a systematic analysis related to the technologies that are considered most important and that currently allow great progress to be made in fraud detection and risk management within the real estate industry by analysing the data collected. The particular focus of the research has been to highlight 3 particular interest areas, namely: i) FinTech and Big Data, ii) risk management, iii) fraud detection. A recent case study related to scandals that have arisen in the FinTech industry has provided further help in support of the research hypotheses and the conclusions are drawn.",,,,2021 3rd International Conference on E-Business and E-commerce Engineering,,,2021-12-17,2021,2022-03-23,2021-12-17,,,67-73,Closed,Proceeding,"Eltweri, Ahmed; Faccia, Alessio; KHASSAWNEH, OSAMA","Eltweri, Ahmed (Liverpool Business School, Liverpool John Moores University, UK); Faccia, Alessio (Accounting and Finance Department, DMU, UAE); KHASSAWNEH, OSAMA (Management Department, AMERICAN UNIVERSITY OF RAS AL KHAIMAH, UAE)",,"Eltweri, Ahmed (Liverpool John Moores University); Faccia, Alessio (Accounting and Finance Department, DMU, UAE); KHASSAWNEH, OSAMA (American University of Ras Al Khaimah)",34,26,,10.21,,https://app.dimensions.ai/details/publication/pub.1146529067,"35 Commerce, Management, Tourism and Services; 46 Information and Computing Sciences; 4605 Data Management and Data Science",
2046,pub.1170845311,10.5267/j.ijdns.2024.3.002,,,Enhancing estate governance using blockchain technology through risk management in estate governance of business sustainability,"The integration of blockchain technology into estate governance has the potential to revolutionize transparency, efficiency, and security in estate management. Traditional governance structures often grapple with inefficiencies, lack of transparency, and security issues in estate management. This paper comprehensively explores the impact of blockchain on estate governance, and then risk management and business sustainability. This research centers on the role of risk management on business sustainability to mediate and moderate the effect of estate governance on business sustainability. The results indicate that effective real estate governance positively affects risk management practices in real estate. However, both real estate governance and risk management contribute to business sustainability. Moreover, there are still gaps in the literature that require further investigation. Where policymakers and practitioners can develop informed strategies to strengthen governance structures, mitigate risks, and promote sustainable practices in real estate; Thus, promoting long-term success and resilience in the real estate industry. It is worth noting that future research should focus on empirical testing of the proposed hypotheses to provide a better understanding of these dynamics and their implications for risk management that can affect business sustainability.",,,International Journal of Data and Network Science,,,,2024,2024,2024,2024,8,3,1649-1658,All OA; Gold,Article,"Jebril, Iqbal; Al-Zaqeba, Murad Ali Ahmad; Al-Khawaja, Haneen A; Al Obaidy, Abdulbasit Lutfy A; Marashdah, Osama shokri","Jebril, Iqbal (); Al-Zaqeba, Murad Ali Ahmad (); Al-Khawaja, Haneen A (); Al Obaidy, Abdulbasit Lutfy A (); Marashdah, Osama shokri ()",,"Jebril, Iqbal (); Al-Zaqeba, Murad Ali Ahmad (); Al-Khawaja, Haneen A (); Al Obaidy, Abdulbasit Lutfy A (); Marashdah, Osama shokri ()",7,7,,,https://doi.org/10.5267/j.ijdns.2024.3.002,https://app.dimensions.ai/details/publication/pub.1170845311,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services; 3507 Strategy, Management and Organisational Behaviour","16 Peace, Justice and Strong Institutions"
1880,pub.1166426547,10.58396/gsef010202,,,New risk-management considerations for the real estate industry in the era of artificial intelligence,,,,Global Studies on Economics and Finance,,,,2023,2023,2023,2023,,,,Closed,Article,,,,,1,1,,1.13,,https://app.dimensions.ai/details/publication/pub.1166426547,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services","9 Industry, Innovation and Infrastructure"
