id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	accuracy	-0.7595	-0.2156	2	41	99	16	2021.875	6.5625	1.2252
2	advancement	-0.5607	-0.1378	3	58	113	13	2022.6923	4	0.8036
3	algorithm	0.0218	-0.4527	2	49	107	18	2022.5556	7.3889	1.8332
4	asset	0.7174	-0.5157	4	60	167	20	2023.2	1.85	0.8009
5	automation	0.3761	-0.1202	4	59	161	20	2022.35	2.85	1.0185
6	big data	-0.5905	-0.3442	3	61	186	27	2021.7778	15.5556	1.2875
7	blockchain	0.8857	0.495	5	67	281	36	2022.5833	5.0833	1.5676
8	blockchain technology	0.9399	0.3717	5	68	294	35	2022.7429	2.9714	1.229
9	building	-0.2481	-0.2964	3	67	251	36	2021.8611	5.2222	1.1
10	business	-0.1393	0.5096	1	66	185	25	2022.8	9.04	0.988
11	china	-1.2246	-0.1595	3	41	87	12	2021.8333	3.3333	0.4993
12	citizen	-0.0558	0.2824	1	46	83	10	2021.3	5.6	1.2834
13	city	-0.403	-0.4773	3	68	240	33	2021.7273	7.3939	0.9932
14	climate change	-0.8369	-0.5653	3	41	69	10	2022.6	3.5	1.2476
15	construction	-0.3919	0.1672	1	68	224	29	2022.0345	3.7931	0.4212
16	construction industry	-0.6038	0.89	1	36	55	8	2022.375	11.125	1.769
17	control	1.1188	-0.2561	5	50	95	11	2022.4545	2.6364	0.7915
18	country	-0.1077	0.5046	1	67	180	21	2022.1905	4.381	0.8079
19	covid	-1.0273	0.2745	1	50	89	10	2022.3	3.2	0.8016
20	decision making	-0.1435	-0.4043	2	63	192	26	2023.0385	2.7692	1.1204
21	demand	-0.3993	-0.229	1	64	165	18	2022	1.7778	0.231
22	digital technology	-0.5615	0.9185	1	48	92	11	2022.7273	1.9091	0.7645
23	digital transformation	-0.2756	0.7382	1	55	128	23	2023	1.913	0.7008
24	digitalization	-0.2074	0.9776	1	48	90	11	2022.5455	3.7273	1.3676
25	effectiveness	-0.6293	-0.0965	2	56	120	14	2023.2857	3.5	1.7665
26	energy consumption	0.4617	-0.3739	2	45	81	11	2022.1818	3.1818	1.0762
27	energy efficiency	0.5625	-0.1546	2	59	163	21	2022.5714	4.3333	1.3016
28	esg	1.1526	-0.5557	4	40	67	8	2023.375	2.375	0.9688
29	feature	0.6038	0.0177	5	59	155	17	2022.9412	4.4706	1.8389
30	finance	0.2545	0.4579	5	65	194	22	2022.0909	1.7727	0.297
31	goal	-0.2975	0.3414	1	64	169	20	2022.8	6.4	1.3004
32	governance	0.6545	0.0013	4	66	208	24	2023.1667	2.9167	1.727
33	government	-0.1985	0.3594	1	47	67	9	2021.5556	22.8889	1.1085
34	healthcare	0.66	1.0975	5	41	83	9	2022.1111	3.3333	0.8364
35	implication	-0.0854	-0.6106	2	67	252	28	2023.1429	3.3929	0.6978
36	innovation	0.1996	0.5842	1	66	205	24	2022.5417	2.125	0.4502
37	integration	-0.0578	-0.0243	2	71	258	34	2023.8235	3.0588	1.1386
38	interest	-0.3618	-0.0752	3	53	105	14	2021.0714	4.5	1.3407
39	internet	0.2898	0.3658	2	62	157	18	2022.2222	12.6667	1.1112
40	investment	0.1555	-0.7197	4	65	231	28	2022.6429	3.7143	0.8664
41	investor	0.539	-0.9135	4	56	139	15	2022.5333	5.0667	1.5814
42	iot	0.5782	-0.2883	2	49	117	15	2022.0667	14.7333	1.1433
43	nigeria	-0.789	-0.0739	1	35	65	8	2022.875	0.5	0.1764
44	organization	-0.029	0.4809	1	62	183	19	2022.6316	2.5789	0.9236
45	pandemic	-1.03	0.4275	1	48	80	8	2022	1.5	0.4537
46	performance	-0.1204	-0.6834	2	61	172	24	2022.3333	10.4583	1.4313
47	person	-0.4576	0.7366	1	49	74	8	2020.875	21.125	1.888
48	planning	-1.0612	-0.2973	3	47	91	13	2022.1538	11.5385	0.8172
49	policymaker	-0.1624	-0.5956	4	56	124	10	2023.8	1.1	1.1242
50	professional	-0.1661	0.1485	3	59	146	15	2022.2	5.6	1.1537
51	provision	0.0927	0.3764	1	50	85	11	2020.4545	4.9091	0.6726
52	quality	0.0603	0.362	1	68	240	27	2021.5556	7.4815	0.6315
