id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	accuracy	-0.9098	-0.0269	1	39	99	20	2022.3	5.55	0.9209
2	adoption	0.529	0.0321	3	51	137	19	2022.4737	11	1.0459
3	algorithm	-0.4607	-0.2972	1	48	149	32	2022.8438	6.1562	1.3581
4	architecture	-0.3623	0.7805	2	46	88	16	2021.1875	4.8125	0.4071
5	asset	0.2276	-0.7579	4	51	161	26	2023.3846	1.6154	0.78
6	big data	-0.7637	0.1402	1	52	198	35	2021.8	20	1.5536
7	blockchain	0.9994	-0.0872	3	55	317	54	2022.8889	3.8519	1.2607
8	blockchain technology	0.9989	-0.2393	3	55	299	45	2022.8667	2.6	1.0566
9	building	-0.6935	0.1902	2	53	209	40	2021.825	5.475	1.1027
10	business	0.4616	0.2354	2	53	183	35	2022.8857	6.5429	0.6993
11	china	-1.1466	0.2948	1	34	78	15	2022.2	2.6667	0.383
12	city	-0.7375	-0.2138	1	54	229	40	2021.8	8.025	0.9299
13	climate change	-0.998	-0.1641	1	39	68	13	2022.6154	2.6923	0.6917
14	construction	-0.6116	0.4439	2	52	191	35	2021.9714	4.0857	0.468
15	country	0.0668	0.4624	2	52	137	23	2022.1739	9.4348	0.9258
16	covid	-0.3263	0.2344	1	52	115	17	2022.2941	9.6471	1.1763
17	cryptocurrency	1.0622	-0.4002	3	39	89	11	2022.2727	1.9091	0.4205
18	decision making	-0.22	-0.0832	1	54	191	33	2023.2727	3.3939	0.7395
19	digital technology	0.4761	0.6241	2	47	101	15	2023	2.3333	0.7386
20	digital transformation	-0.1406	0.8818	2	46	144	34	2023	2.8529	0.5532
21	digitalization	0.2969	0.798	2	39	79	14	2022.4286	3.8571	1.0784
22	energy efficiency	-0.0071	0.0621	5	49	122	21	2022.5714	4.3333	1.4597
23	finance	0.5083	-0.1004	3	54	219	33	2022.3636	3.5758	0.4276
24	government	-0.4101	0.5767	1	39	67	12	2022.0833	17.5833	1.0887
25	healthcare	1.2208	0.3574	3	37	84	11	2022.2727	3.0909	0.6744
26	innovation	0.6632	0.3574	2	53	186	30	2022.7333	2.8667	0.4537
27	internet	0.3197	0.6749	5	52	147	22	2022	14.4545	1.0257
28	investment	-0.1493	-0.6363	4	53	201	32	2022.8438	3.4375	0.804
29	investor	-0.0924	-1.0058	4	46	139	21	2022.8571	4.1905	1.2287
30	iot	0.1543	0.591	5	44	105	17	2021.7059	18.2353	1.1603
31	machine learning	-0.1119	-0.2092	1	50	117	21	2023.2857	10.4286	0.8753
32	new technology	0.4733	-0.5155	3	35	60	10	2023.2	3.8	0.9299
33	order	0.0383	0.3502	2	48	112	17	2021.5882	9.1765	1.2485
34	originality value	-0.6355	-0.0476	1	37	74	15	2022.0667	13.4667	0.8858
35	pandemic	-0.3387	0.3954	1	52	111	16	2022.125	9	0.9744
36	performance	-0.5537	-0.3784	1	53	178	32	2022.4688	9.5	1.3614
37	planning	-0.9827	0.0838	1	46	106	18	2022.2222	13.6111	0.7003
38	policymaker	0.0093	-0.8361	4	46	119	13	2023.9231	0.8462	0.9163
39	quality	0.1502	0.2909	2	56	241	37	2021.8649	9.8919	0.7161
40	real estate development	0.2614	0.1776	5	49	106	17	2023.4706	1.1765	0.3964
41	real estate investment	0.0284	-1.059	4	41	86	14	2023.5	5.4286	3.0286
42	real estate management	-0.2279	0.7735	2	35	60	12	2023.6667	0.8333	0.8004
43	real estate market	-0.8165	-0.3347	1	50	147	28	2022.25	5.1071	0.9216
44	real estate sector	0.1346	-0.4576	4	54	201	35	2023.4	2.6	1.0426
45	resilience	0.2889	-0.6455	4	50	126	20	2023.15	1	0.4202
46	resource	-0.357	-0.0012	2	54	200	30	2022.1667	14.8667	1.1315
47	revenue	-0.3329	-0.9395	4	27	55	10	2022.3	2.4	0.3934
48	risk management	-0.1686	-0.4306	1	51	153	28	2023.0357	10.4643	1.8424
49	security	0.8841	0.1069	3	54	272	41	2022.7561	9.8293	1.207
50	smart city	0.1315	-0.0137	5	42	87	15	2022.3333	5.3333	1.4609
51	smart contract	1.332	-0.071	3	37	111	16	2022.9375	1.9375	1.1636
52	stakeholder	-0.4145	-0.5158	1	53	189	31	2022.9677	9.2581	1.4384
53	sustainable development	-0.5825	0.5607	1	48	124	24	2023.6667	1.75	0.879
54	technological advancement	0.4938	-0.2645	3	43	75	11	2023.7273	1.8182	0.2743
55	transparency	0.7319	-0.513	3	53	246	39	2023.2564	1.5385	0.8831
56	trust	1.1442	0.0711	3	40	92	15	2023.4	1.9333	1.5522
57	urban planning	-0.9032	-0.4988	1	41	121	18	2022.5	1.4444	0.39
58	user	0.3937	0.4763	2	49	135	23	2022.2609	8.4348	1.2314
59	user experience	-0.0252	0.7204	2	38	106	24	2022.625	3.8333	0.7658
