id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	3d model	-0.3602	-0.6117	2	16	22	3	2023.3333	0	0
2	approach	0.6831	0.4319	1	17	25	5	2021.8	10	0.8683
3	architecture	0.1429	0.6607	3	18	25	4	2022.5	6.25	0.6389
4	augmented reality	-0.6021	-0.4963	2	23	41	5	2024.4	0.2	0.5778
5	blockchain	-0.7939	0.0693	2	23	45	7	2024	0.4286	0.6349
6	building	0.5402	-0.5701	1	19	27	3	2022	12.6667	1.5238
7	business	-0.7927	-0.1886	2	18	26	6	2022.8333	0.1667	0.4815
8	city	0.4081	-0.0559	1	23	31	4	2021	14.25	1.3214
9	concept	0.754	-0.4033	1	20	38	5	2021	21.2	1.1429
10	data	0.8105	0.1419	1	23	47	7	2020.8571	12.8571	1.2937
11	design methodology approach	1.1522	-0.147	1	14	25	4	2021.75	25	1.3651
12	development	-0.4307	0.2905	3	26	46	6	2023.5	4.3333	0.7791
13	device	0.1487	-0.1005	1	27	45	5	2022.8	6.4	0.9
14	digital transformation	-0.4769	0.6686	3	16	29	5	2023.8	2.2	0.8
15	implementation	-0.1546	0.4465	3	22	29	4	2022.25	5.75	0.5
16	importance	-0.7367	0.0679	2	18	19	3	2023.6667	3.6667	1
17	industry	0.438	0.3163	1	29	61	10	2023.1	8.4	0.8587
18	information	0.4978	-0.296	1	22	33	5	2022.6	9	1.2921
19	insight	0.4414	0.525	1	24	49	7	2022.2857	13	0.7347
20	internet	0.7816	0.0839	1	21	35	5	2021	20	1.1286
21	iot	1.0124	0.1165	1	16	29	4	2020	25	1.1607
22	metaverse	-0.9514	-0.3878	2	13	18	3	2024.3333	3	3
23	nfts	-0.9897	-0.2959	2	12	14	3	2023.6667	2.6667	2.7037
24	operation	0.3785	-0.4346	1	21	25	3	2022	13	1.8201
25	opportunity	-0.5373	-0.5178	2	21	33	4	2024.5	0	0.5
26	originality value	1.1413	-0.1811	1	14	25	4	2021.75	25	1.3651
27	possibility	-0.3746	-0.6927	2	17	26	3	2024	0.3333	0.2963
28	property listing	-0.4276	0.892	3	14	24	3	2024.3333	0.6667	0.8519
29	real estate sector	-0.236	0.712	3	20	39	6	2023.5	4.5	0.8902
30	real estate website	-0.5177	0.7019	3	16	23	3	2024	3.6667	1.3333
31	space	-0.1269	-0.5743	2	23	35	4	2023	7.25	0.7679
32	stakeholder	0.9559	-0.0661	1	18	22	3	2020	19	1.4868
33	system	-0.3044	0.2461	3	27	46	8	2023	4.125	0.7024
34	tool	-0.3455	-0.4398	2	17	24	4	2023.5	2.75	0.5
35	transaction	-0.7482	0.3014	3	22	39	7	2023.8571	0	0.5714
36	virtual reality	-0.3797	-0.2129	2	30	46	5	2024.2	2	1.0778
